Media Source,"""israeli""","""palestinian""","""antisemitism""/""antisemitic""","""islamophobia""/""islamophobic"""
LAT,"1,880","1,778",125,14
NYT,"4,677","3,103",217,26
wapo,"3,729","2,164",207,39
Total,"10,286","7,045",549,79
